"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","09-May-2018","       3441.20","       3440.20","       3494.75","       3440.20","       3488.50","       3489.30","       3480.95","    1307525","          4551423047.50","      74986","     754487","         57.70"
"TCS","EQ","10-May-2018","       3489.30","       3502.95","       3511.15","       3440.20","       3446.30","       3451.25","       3478.59","    1929339","          6711381185.70","      78782","    1044165","         54.12"
"TCS","EQ","11-May-2018","       3451.25","       3454.20","       3485.00","       3442.50","       3461.00","       3456.95","       3461.07","    1313938","          4547636850.35","      44332","     734225","         55.88"
"TCS","EQ","14-May-2018","       3456.95","       3457.00","       3471.00","       3410.80","       3440.00","       3433.55","       3427.81","    1216947","          4171459981.05","      67155","     738191","         60.66"
"TCS","EQ","15-May-2018","       3433.55","       3450.00","       3495.80","       3433.70","       3487.00","       3482.40","       3477.97","     976445","          3396047379.25","      72769","     426098","         43.64"
"TCS","EQ","16-May-2018","       3482.40","       3479.95","       3509.00","       3475.25","       3497.00","       3493.90","       3494.21","     824225","          2880012135.00","      62359","     462112","         56.07"
"TCS","EQ","17-May-2018","       3493.90","       3512.95","       3533.15","       3476.00","       3480.80","       3491.80","       3509.69","    1484024","          5208463595.05","     147144","     968752","         65.28"
"TCS","EQ","18-May-2018","       3491.80","       3480.80","       3517.70","       3458.00","       3495.00","       3502.05","       3487.86","     937498","          3269860706.55","      71488","     518150","         55.27"
"TCS","EQ","21-May-2018","       3502.05","       3528.70","       3592.00","       3518.05","       3551.80","       3556.75","       3567.15","    1723089","          6146517739.55","     113610","     883903","         51.30"
"TCS","EQ","22-May-2018","       3556.75","       3558.00","       3574.95","       3493.70","       3514.40","       3508.90","       3520.43","     928708","          3269452704.00","      71360","     523307","         56.35"
"TCS","EQ","23-May-2018","       3508.90","       3525.00","       3545.00","       3481.00","       3498.95","       3495.10","       3513.84","     753649","          2648198399.95","      65699","     407054","         54.01"
"TCS","EQ","24-May-2018","       3495.10","       3510.00","       3615.00","       3502.35","       3610.75","       3603.70","       3579.69","    1481158","          5302086674.25","      78667","     655097","         44.23"
"TCS","EQ","25-May-2018","       3603.70","       3625.00","       3674.80","       3572.55","       3589.90","       3585.80","       3633.11","    1884886","          6848001305.30","     142355","     954659","         50.65"
"TCS","EQ","28-May-2018","       3585.80","       3616.50","       3616.50","       3486.00","       3499.35","       3502.05","       3516.38","    1858399","          6534828349.50","     142950","    1041835","         56.06"
"TCS","EQ","29-May-2018","       3502.05","       3529.90","       3544.00","       3488.00","       3519.95","       3523.50","       3517.42","    1762656","          6200008340.15","     101072","     834822","         47.36"
"TCS","EQ","30-May-2018","       3523.50","       3509.05","       3533.00","       3482.50","       3507.50","       3514.10","       3508.90","    1889553","          6630243746.65","     125085","    1124217","         59.50"
"TCS","EQ","31-May-2018","       3514.10","       1734.00","       1759.05","       1726.10","       1748.85","       1741.05","       1742.44","    5049371","          8798250473.70","     207998","    3447026","         68.27"
"TCS","EQ","01-Jun-2018","       1741.05","       1754.00","       1757.50","       1716.30","       1732.00","       1732.45","       1742.29","    1603856","          2794386298.35","      74272","     924751","         57.66"
"TCS","EQ","04-Jun-2018","       1732.45","       1745.00","       1749.00","       1712.60","       1742.00","       1744.25","       1730.25","    1681483","          2909393689.70","      96686","     928452","         55.22"
"TCS","EQ","05-Jun-2018","       1744.25","       1744.00","       1751.90","       1711.15","       1723.00","       1721.60","       1728.88","    2449568","          4235000687.90","     133067","    1492228","         60.92"
"TCS","EQ","06-Jun-2018","       1721.60","       1723.00","       1734.90","       1715.20","       1725.00","       1725.75","       1725.85","    2236512","          3859874684.10","      73770","    1573892","         70.37"
"TCS","EQ","07-Jun-2018","       1725.75","       1725.00","       1749.00","       1723.80","       1734.05","       1735.55","       1738.00","    2414762","          4196845765.20","     105531","    1639426","         67.89"
"TCS","EQ","08-Jun-2018","       1735.55","       1735.00","       1757.30","       1735.00","       1742.95","       1747.10","       1748.59","    2582138","          4515097488.70","      90908","    1640936","         63.55"
"TCS","EQ","11-Jun-2018","       1747.10","       1747.10","       1763.00","       1743.00","       1750.90","       1749.70","       1752.55","    2179378","          3819463189.45","     104681","    1659838","         76.16"
"TCS","EQ","12-Jun-2018","       1749.70","       1757.00","       1785.00","       1753.00","       1781.05","       1781.00","       1773.52","    4608875","          8173948345.10","     108707","    3580858","         77.69"
"TCS","EQ","13-Jun-2018","       1781.00","       1816.00","       1831.65","       1798.00","       1824.00","       1824.10","       1818.17","    5370983","          9765380711.80","     236378","    2862488","         53.30"
"TCS","EQ","14-Jun-2018","       1824.10","       1830.00","       1832.30","       1784.00","       1784.95","       1787.55","       1795.49","    3819998","          6858771088.20","     185231","    2405344","         62.97"
"TCS","EQ","15-Jun-2018","       1787.55","       1800.00","       1847.10","       1788.60","       1840.00","       1840.05","       1823.42","    9183574","         16745544383.35","     232555","    4247203","         46.25"
"TCS","EQ","18-Jun-2018","       1840.05","       1867.95","       1867.95","       1822.15","       1824.00","       1829.00","       1840.85","    4674987","          8605956299.90","     212032","    2287621","         48.93"
"TCS","EQ","19-Jun-2018","       1829.00","       1822.15","       1839.00","       1821.00","       1822.90","       1824.50","       1829.83","    3245034","          5937862115.25","     139033","    1712806","         52.78"
"TCS","EQ","20-Jun-2018","       1824.50","       1832.00","       1836.30","       1818.60","       1820.00","       1822.45","       1828.68","    3107695","          5682968753.90","     151059","    2297300","         73.92"
"TCS","EQ","21-Jun-2018","       1822.45","       1832.00","       1832.00","       1817.60","       1820.00","       1819.35","       1822.83","    2910659","          5305644225.80","     130989","    2119842","         72.83"
"TCS","EQ","22-Jun-2018","       1819.35","       1827.00","       1827.00","       1799.55","       1809.00","       1809.80","       1810.38","    2949458","          5339626532.70","     225703","    2149173","         72.87"
"TCS","EQ","25-Jun-2018","       1809.80","       1811.90","       1822.35","       1806.00","       1817.75","       1819.25","       1817.52","    2083217","          3786278981.15","     115086","    1348047","         64.71"
"TCS","EQ","26-Jun-2018","       1819.25","       1823.00","       1861.00","       1821.00","       1852.05","       1852.00","       1842.52","    4679712","          8622455574.95","     160270","    3197021","         68.32"
"TCS","EQ","27-Jun-2018","       1852.00","       1860.00","       1885.15","       1851.25","       1857.50","       1858.00","       1870.51","    4081208","          7633922937.85","     163411","    1967182","         48.20"
"TCS","EQ","28-Jun-2018","       1858.00","       1865.00","       1871.00","       1826.30","       1844.10","       1842.70","       1846.23","    4888125","          9024622355.45","     176902","    3110366","         63.63"
"TCS","EQ","29-Jun-2018","       1842.70","       1844.90","       1867.40","       1842.30","       1844.95","       1847.75","       1851.25","    3506276","          6490978437.60","     213525","    2265670","         64.62"
"TCS","EQ","02-Jul-2018","       1847.75","       1852.00","       1857.80","       1841.10","       1854.05","       1851.35","       1852.00","    2650290","          4908342579.90","     137325","    1969574","         74.32"
"TCS","EQ","03-Jul-2018","       1851.35","       1859.95","       1879.90","       1857.05","       1874.25","       1874.05","       1872.16","    3242233","          6069985147.50","     191297","    2047537","         63.15"
"TCS","EQ","04-Jul-2018","       1874.05","       1879.90","       1879.90","       1857.15","       1867.00","       1866.15","       1863.61","    2700614","          5032886447.20","     116958","    1997832","         73.98"
"TCS","EQ","05-Jul-2018","       1866.15","       1873.00","       1887.50","       1862.10","       1883.80","       1880.30","       1874.33","    2472571","          4634408415.65","      94620","    1580212","         63.91"
"TCS","EQ","06-Jul-2018","       1880.30","       1882.85","       1921.00","       1881.65","       1917.75","       1912.95","       1907.65","    3713781","          7084608223.60","     143673","    2110559","         56.83"
"TCS","EQ","09-Jul-2018","       1912.95","       1924.00","       1924.40","       1876.50","       1884.20","       1883.00","       1888.15","    6151747","         11615411506.80","     193730","    4089052","         66.47"
"TCS","EQ","10-Jul-2018","       1883.00","       1898.00","       1898.90","       1870.75","       1876.05","       1875.10","       1881.79","    5303302","          9979704601.25","     187687","    3366084","         63.47"
"TCS","EQ","11-Jul-2018","       1875.10","       1900.00","       1998.00","       1894.15","       1970.00","       1979.90","       1951.99","   22903802","         44708105351.40","     482657","    9308170","         40.64"
"TCS","EQ","12-Jul-2018","       1979.90","       1984.00","       1990.90","       1960.50","       1973.00","       1971.35","       1972.52","    6921701","         13653172983.90","     204057","    3235315","         46.74"
"TCS","EQ","13-Jul-2018","       1971.35","       1975.00","       1997.90","       1974.00","       1977.60","       1981.10","       1986.23","    4148185","          8239240068.00","     146909","    1571340","         37.88"
"TCS","EQ","16-Jul-2018","       1981.10","       1990.00","       1996.00","       1977.45","       1988.85","       1989.20","       1988.74","    2582159","          5135235030.60","     112338","    1428885","         55.34"
