Date, Symbol, Series,"Open Price", High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
01-Oct-2018, ICICIBANK, EQ, 306.30, 315.05, 300.55,         314.20, 314.00, 21104376, 65070.69
28-Sep-2018, ICICIBANK, EQ, 309.10, 311.60, 301.80,         306.00, 305.55, 26289107, 80430.36
27-Sep-2018, ICICIBANK, EQ, 315.65, 316.00, 305.30,         308.30, 306.65, 24888615, 76647.32
26-Sep-2018, ICICIBANK, EQ, 315.00, 315.30, 305.10,         312.90, 313.10, 23224979, 72183.70
25-Sep-2018, ICICIBANK, EQ, 307.00, 313.50, 300.05,         310.95, 311.10, 30472132, 93241.88
24-Sep-2018, ICICIBANK, EQ, 316.80, 316.80, 305.55,         308.40, 308.75, 24382310, 76021.49
21-Sep-2018, ICICIBANK, EQ, 323.45, 333.70, 308.35,         318.20, 317.10, 34169460, 110650.15
19-Sep-2018, ICICIBANK, EQ, 320.00, 324.70, 317.00,         320.45, 320.95, 15942065, 51160.12
18-Sep-2018, ICICIBANK, EQ, 324.25, 328.05, 317.70,         319.15, 318.85, 14825218, 47785.35
17-Sep-2018, ICICIBANK, EQ, 327.30, 327.50, 321.35,         326.15, 325.70, 7227361, 23466.88
14-Sep-2018, ICICIBANK, EQ, 327.20, 332.00, 324.15,         328.90, 328.35, 10736693, 35091.41
12-Sep-2018, ICICIBANK, EQ, 327.00, 327.05, 318.50,         323.00, 322.90, 15263406, 49190.12
11-Sep-2018, ICICIBANK, EQ, 333.70, 336.70, 325.10,         326.35, 326.55, 13005562, 43058.92
10-Sep-2018, ICICIBANK, EQ, 331.80, 335.75, 330.40,         333.30, 332.90, 16673909, 55556.75
07-Sep-2018, ICICIBANK, EQ, 327.45, 336.40, 322.45,         333.30, 335.10, 16435004, 54455.50
06-Sep-2018, ICICIBANK, EQ, 330.00, 331.25, 325.50,         327.95, 328.65, 11322771, 37243.25
05-Sep-2018, ICICIBANK, EQ, 327.00, 331.35, 324.60,         329.00, 329.65, 14548867, 47703.15
04-Sep-2018, ICICIBANK, EQ, 334.80, 336.45, 327.25,         329.00, 328.50, 15470215, 51186.89
03-Sep-2018, ICICIBANK, EQ, 343.60, 344.00, 332.55,         335.00, 334.15, 12859450, 43395.00
31-Aug-2018, ICICIBANK, EQ, 343.00, 346.80, 338.50,         341.60, 342.60, 19809916, 67787.04
30-Aug-2018, ICICIBANK, EQ, 339.20, 345.45, 337.70,         344.20, 344.35, 22349447, 76478.26
29-Aug-2018, ICICIBANK, EQ, 336.35, 342.65, 335.80,         339.70, 340.65, 18868248, 64260.52
28-Aug-2018, ICICIBANK, EQ, 342.00, 343.50, 336.30,         338.25, 338.90, 16427306, 55679.29
